data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,5086,Delta Montrose Electric Assn,,CO,WACM,1690,38,0,0,1728,Y,Y,,,,,,,,,,,,,,,,,,
2024,5109,DTE Electric Company,,MI,MISO,23062,26,0,0,23088,Y,Y,Y,,,,,,,,,,Y,Y,,,,,,
2024,5111,City of Detroit Lakes - (MN),Y,MN,MISO,,1,,,1,,,,,,,,,,,,,,,,,,,,
2024,5148,City of Dickson,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,5325,City of Douglas,,GA,SOCO,,3,,,3,,Y,,,,Y,,,,,,,,,,,,,,
2024,5399,Duck River Elec Member Corp,,TN,TVA,0,1,4,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2024,5416,"Duke Energy Carolinas, LLC",,NC,DUK,29622,21744,1294,,52660,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2024,5416,"Duke Energy Carolinas, LLC",,SC,DUK,1832,2915,239,,4986,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2024,5417,Dunn County Electric Coop,,WI,MISO,,,3,,3,,,Y,,,,,,,,,,,,,,,,,
2024,5438,"Duncan Valley Elec Coop, Inc",Y,AZ,WALC,,1,,,1,,,,,,,,,,,,,,,,,,,,
2024,5487,Duquesne Light Co,,PA,PJM,1182,141,21,,1344,Y,Y,,,,Y,Y,,,,,,,,,,,,,
2024,5509,City of Dyersburg,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,5551,City of Eagle River - (WI),,WI,MISO,0,5,0,0,5,,Y,,,,,,,,,,,,,,,,,,
2024,5578,East Mississippi Elec Pwr Assn,,MS,TVA,3,91,0,0,94,Y,Y,,,,,,,,,,,,,,,,,,
2024,5582,City of East Point - (GA),,GA,SOCO,,1,,,1,,,,,,Y,,,,,,,,,,,,,,
2024,5605,Eastern Iowa Light & Power Coop,,IA,MISO,20749,3304,17,,24070,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,5632,Eau Claire Electric Coop,Y,WI,MISO,10,12,10,0,32,,,,,,,,,,,,,,,,,,,,
2024,5661,City of Edmond - (OK),,OK,SWPP,,18,,,18,,Y,,,,,,,,,,,,,,,,,,
2024,5701,El Paso Electric Co,,NM,EPE,107,105,9,,221,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,5701,El Paso Electric Co,,TX,EPE,154,707,43,,904,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,5763,City of Elizabethton - (TN),,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2024,5773,City of Elk River,,MN,MISO,74,3,,,77,Y,Y,,,,,,,,,,,,,,,,,,
2024,5860,Empire District Electric Co,,MO,SWPP,141784,23928,187,,165899,Y,Y,Y,,,,,,,,,,,,,,,,,
