data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,9230,City of Independence - (IA),IA,8,8
2024,9231,City of Independence - (MO),MO,69,34
2024,9246,"Indian Electric Coop, Inc",OK,65,3
2024,9273,AES Indiana,IN,375,370
2024,9292,Inter County Energy Coop Corp - (KY),KY,48,
2024,9324,Indiana Michigan Power Co,IN,678,126
2024,9324,Indiana Michigan Power Co,MI,149,16
2024,9331,Intercounty Electric Coop Assn - (MO),MO,99,0
2024,9336,CORE Electric Cooperative,CO,278,
2024,9417,Interstate Power and Light Co,IA,1497,0
2024,9425,Iowa Lakes Electric Coop,IA,158,2
2024,9475,Itasca-Mantrap Co-op Electrical Assn,MN,43,0
2024,9575,Jackson Energy Coop Corp - (KY),KY,113,0
2024,9576,Jackson County Rural E M C - (IN),IN,37,0
2024,9590,"Jackson Electric Coop, Inc - (TX)",TX,36,
2024,9601,Jackson Electric Member Corp - (GA),GA,258,0
2024,9605,Jackson Purchase Energy Corporation,KY,93,0
2024,9612,City of Jackson - (TN),TN,135,80
2024,9613,City of Lebanon - (IN),IN,16,9
2024,9616,Beaches Energy Services,FL,30,30
2024,9617,JEA,FL,389,389
2024,9645,Jamestown Board of Public Util,NY,51,51
2024,9665,Jasper County Rural E M C,IN,37,37
2024,9667,City of Jasper - (IN),IN,16,16
2024,9668,"Jasper-Newton Elec Coop, Inc",TX,64,
2024,9682,"Jefferson Davis Elec Coop, Inc",LA,43,0
2024,9689,Jefferson Electric Member Corp,GA,58,0
2024,9690,Jefferson Utilities,WI,4,0
2024,9697,City of Jellico,KY,2,0
2024,9697,City of Jellico,TN,4,0
2024,9699,"Jemez Mountains Elec Coop, Inc",NM,56,
2024,9726,Jersey Central Power & Lt Co,NJ,1368,1368
2024,9739,Joe Wheeler Elec Member Corp,AL,94,75
2024,9750,"Jo-Carroll Energy, Inc",IL,90,2
2024,9777,Johnson City - (TN),TN,140,140
2024,9778,Johnson County Rural E M C,IN,46,0
2024,9837,Jones-Onslow Elec Member Corp,NC,153,131
2024,9879,City Water and Light Plant,AR,94,
2024,9936,Juneau Utility Comm,WI,10,0
2024,9964,Kenergy Corp,KY,195,0
2024,9996,City of Kansas City - (KS),KS,123,0
